Date_1,Date_2,Date_3,Predicted_Close_1,Predicted_Close_2,Predicted_Close_3,Actual_Close_1,Actual_Close_2,Actual_Close_3
2023-11-24,2023-11-27,2023-11-28,179.84874,179.80106,179.85439,190.64,191.31,189.97
2023-11-27,2023-11-28,2023-11-29,180.61879,180.55133,180.58327,191.31,189.97,189.79
2023-11-28,2023-11-29,2023-11-30,181.13812,181.06082,181.07411,189.97,189.79,190.4
2023-11-29,2023-11-30,2023-12-01,181.75041,181.65694,181.65016,189.79,190.4,189.37
2023-11-30,2023-12-01,2023-12-04,181.87276,181.77734,181.76419,190.4,189.37,189.95
2023-12-01,2023-12-04,2023-12-05,182.11499,182.0178,181.99335,189.37,189.95,191.24
2023-12-04,2023-12-05,2023-12-06,184.68173,184.54898,184.35112,189.95,191.24,189.43
2023-12-05,2023-12-06,2023-12-07,185.3348,185.18884,184.94034,191.24,189.43,193.42
2023-12-06,2023-12-07,2023-12-08,185.49045,185.34334,185.08311,189.43,193.42,192.32
2023-12-07,2023-12-08,2023-12-11,185.70366,185.55402,185.27715,193.42,192.32,194.27
2023-12-08,2023-12-11,2023-12-12,186.04045,185.88599,185.58794,192.32,194.27,195.71
2023-12-11,2023-12-12,2023-12-13,186.86261,186.7042,186.35434,194.27,195.71,193.18
2023-12-12,2023-12-13,2023-12-14,187.14084,186.97601,186.60944,195.71,193.18,194.71
2023-12-13,2023-12-14,2023-12-15,187.47942,187.29942,186.91702,193.18,194.71,197.96
2023-12-14,2023-12-15,2023-12-18,187.55652,187.36166,186.97397,194.71,197.96,198.11
2023-12-15,2023-12-18,2023-12-19,187.78413,187.53714,187.11925,197.96,198.11,197.57
2023-12-18,2023-12-19,2023-12-20,187.90472,187.6604,187.20709,198.11,197.57,195.89
2023-12-19,2023-12-20,2023-12-21,188.06557,187.8269,187.36206,197.57,195.89,196.94
2023-12-20,2023-12-21,2023-12-22,188.44583,188.27084,187.87595,195.89,196.94,194.83
2023-12-21,2023-12-22,2023-12-26,188.8664,188.662,188.27206,196.94,194.83,194.68
2023-12-22,2023-12-26,2023-12-27,188.94194,188.732,188.32419,194.83,194.68,193.6
2023-12-26,2023-12-27,2023-12-28,189.39072,189.196,188.7534,194.68,193.6,193.05
2023-12-27,2023-12-28,2023-12-29,189.42323,189.22005,188.77823,193.6,193.05,193.15
2023-12-28,2023-12-29,2024-01-02,189.45607,189.25067,188.80173,193.05,193.15,193.58
2023-12-29,2024-01-02,2024-01-03,189.4999,189.28346,188.8299,193.15,193.58,192.53
2024-01-02,2024-01-03,2024-01-04,189.58936,189.3784,188.90237,193.58,192.53,185.64
2024-01-03,2024-01-04,2024-01-05,189.77924,189.55064,189.06401,192.53,185.64,184.25
2024-01-04,2024-01-05,2024-01-08,189.99202,189.74554,189.20293,185.64,184.25,181.91
2024-01-05,2024-01-08,2024-01-09,189.35938,189.14374,188.6427,184.25,181.91,181.18
2024-01-08,2024-01-09,2024-01-10,187.17,187.00655,186.682,181.91,181.18,185.56
2024-01-09,2024-01-10,2024-01-11,182.48865,182.3809,182.48969,181.18,185.56,185.14
2024-01-10,2024-01-11,2024-01-12,182.83162,182.72693,182.77551,185.56,185.14,186.19
2024-01-11,2024-01-12,2024-01-16,186.46425,186.26004,185.97078,185.14,186.19,185.59
2024-01-12,2024-01-16,2024-01-17,187.74269,187.5193,187.10298,186.19,185.59,185.92
2024-01-16,2024-01-17,2024-01-18,188.21976,187.97757,187.50073,185.59,185.92,183.63
2024-01-17,2024-01-18,2024-01-19,189.2836,189.01338,188.45576,185.92,183.63,182.68
2024-01-18,2024-01-19,2024-01-22,189.37317,189.11606,188.54285,183.63,182.68,188.63
2024-01-19,2024-01-22,2024-01-23,185.19319,185.0151,184.82838,182.68,188.63,191.56
2024-01-22,2024-01-23,2024-01-24,185.7251,185.54936,185.26811,188.63,191.56,193.89
2024-01-23,2024-01-24,2024-01-25,189.94327,189.68489,189.0971,191.56,193.89,195.18
2024-01-24,2024-01-25,2024-01-26,190.98552,190.72757,190.0717,193.89,195.18,194.5
2024-01-25,2024-01-26,2024-01-29,191.51309,191.25908,190.55708,195.18,194.5,194.17
2024-01-26,2024-01-29,2024-01-30,191.52028,191.26958,190.58983,194.5,194.17,192.42
2024-01-29,2024-01-30,2024-01-31,191.54521,191.28539,190.59738,194.17,192.42,191.73
2024-01-30,2024-01-31,2024-02-01,191.59772,191.34901,190.65858,192.42,191.73,188.04
2024-01-31,2024-02-01,2024-02-02,191.52205,191.28789,190.58766,191.73,188.04,184.4
2024-02-01,2024-02-02,2024-02-05,191.32362,191.09218,190.42949,188.04,184.4,186.86
2024-02-02,2024-02-05,2024-02-06,190.56552,190.36987,189.77338,184.4,186.86,185.85
2024-02-05,2024-02-06,2024-02-07,187.03949,186.92819,186.58514,186.86,185.85,187.68
2024-02-06,2024-02-07,2024-02-08,188.47746,188.3126,187.8497,185.85,187.68,189.3
2024-02-07,2024-02-08,2024-02-09,182.62901,182.63586,182.7361,187.68,189.3,189.41
2024-02-08,2024-02-09,2024-02-12,189.71655,189.52983,189.04813,189.3,189.41,188.32
2024-02-09,2024-02-12,2024-02-13,190.64156,190.43617,189.84189,189.41,188.32,188.85
2024-02-12,2024-02-13,2024-02-14,191.23859,191.02254,190.36496,188.32,188.85,187.15
2024-02-13,2024-02-14,2024-02-15,190.75883,190.53188,189.88933,188.85,187.15,185.04
2024-02-14,2024-02-15,,190.61757,190.41489,,187.15,185.04,
2024-02-15,,,190.16849,,,185.04,,
