date,closingPrice
2022-12-29,130.03
2022-12-30,126.04
2023-01-03,129.61
2023-01-04,129.93
2023-01-05,125.07
2023-01-06,126.36
2023-01-09,125.02
2023-01-10,129.62
2023-01-11,130.15
2023-01-12,130.73
2023-01-13,133.49
2023-01-17,133.41
2023-01-18,134.76
2023-01-19,135.94
2023-01-20,135.21
2023-01-23,135.27
2023-01-24,137.87
2023-01-25,141.11
2023-01-26,142.53
2023-01-27,141.86
2023-01-30,143.96
2023-01-31,145.93
2023-02-01,143.0
2023-02-02,144.29
2023-02-03,145.43
2023-02-06,150.82
2023-02-07,154.5
2023-02-08,151.73
2023-02-09,154.65
2023-02-10,151.92
2023-02-13,150.87
2023-02-14,151.01
2023-02-15,153.85
2023-02-16,153.2
2023-02-17,155.33
2023-02-21,153.71
2023-02-22,152.55
2023-02-23,148.48
2023-02-24,148.91
2023-02-27,149.4
2023-02-28,146.71
2023-03-01,147.92
2023-03-02,147.41
2023-03-03,145.31
2023-03-06,145.91
2023-03-07,151.03
2023-03-08,153.83
2023-03-09,151.6
2023-03-10,152.87
2023-03-13,150.59
2023-03-14,148.5
2023-03-15,150.47
2023-03-16,152.59
2023-03-17,152.99
2023-03-20,155.85
2023-03-21,155.0
2023-03-22,157.4
2023-03-23,159.28
2023-03-24,157.83
2023-03-27,158.93
2023-03-28,160.25
2023-03-29,158.28
2023-03-30,157.65
2023-03-31,160.77
2023-04-03,162.36
2023-04-04,164.9
2023-04-05,166.17
2023-04-06,165.63
2023-04-10,163.76
2023-04-11,164.66
2023-04-12,162.03
2023-04-13,160.8
2023-04-14,160.1
2023-04-17,165.56
2023-04-18,165.21
2023-04-19,165.23
2023-04-20,166.47
2023-04-21,167.63
2023-04-24,166.65
2023-04-25,165.02
2023-04-26,165.33
2023-04-27,163.77
2023-04-28,163.76
2023-05-01,168.41
2023-05-02,169.68
2023-05-03,169.59
2023-05-04,168.54
2023-05-05,167.45
2023-05-08,165.79
2023-05-09,173.57
2023-05-10,173.5
2023-05-11,171.77
2023-05-12,173.555
2023-05-15,173.75
2023-05-16,172.57
2023-05-17,172.07
2023-05-18,172.07
2023-05-19,172.69
2023-05-22,175.05
2023-05-23,175.16
2023-05-24,174.2
2023-05-25,171.56
2023-05-26,171.84
2023-05-30,172.99
2023-05-31,175.43
2023-06-01,177.3
2023-06-02,177.25
2023-06-05,180.09
2023-06-06,180.95
2023-06-07,179.58
2023-06-08,179.21
2023-06-09,177.82
2023-06-12,180.57
2023-06-13,180.96
2023-06-14,183.79
2023-06-15,183.31
2023-06-16,183.95
2023-06-20,186.01
2023-06-21,184.92
2023-06-22,185.01
2023-06-23,183.96
2023-06-26,187.0
2023-06-27,186.68
2023-06-28,185.27
2023-06-29,188.06
2023-06-30,189.25
2023-07-03,189.59
2023-07-05,193.97
2023-07-06,192.46
2023-07-07,191.33
2023-07-10,191.81
2023-07-11,190.68
2023-07-12,188.61
2023-07-13,188.08
2023-07-14,189.77
2023-07-17,190.54
2023-07-18,190.69
2023-07-19,193.99
2023-07-20,193.73
2023-07-21,195.1
2023-07-24,193.13
2023-07-25,191.94
2023-07-26,192.75
2023-07-27,193.62
2023-07-28,194.5
2023-07-31,193.22
2023-08-01,195.83
2023-08-02,196.45
2023-08-03,195.605
2023-08-04,192.58
2023-08-07,191.17
2023-08-08,181.99
2023-08-09,178.85
2023-08-10,179.8
2023-08-11,178.19
2023-08-14,177.97
2023-08-15,177.79
2023-08-16,179.46
2023-08-17,177.45
2023-08-18,176.57
2023-08-21,174.0
2023-08-22,174.49
2023-08-23,175.84
2023-08-24,177.23
2023-08-25,181.12
2023-08-28,176.38
2023-08-29,178.61
2023-08-30,180.19
2023-08-31,184.12
2023-09-01,187.65
2023-09-05,187.87
2023-09-06,189.46
2023-09-07,189.7
2023-09-08,182.91
2023-09-11,177.56
2023-09-12,178.18
2023-09-13,179.36
2023-09-14,176.3
2023-09-15,174.21
2023-09-18,175.74
2023-09-19,175.01
2023-09-20,177.97
2023-09-21,179.07
2023-09-22,175.49
2023-09-25,173.93
2023-09-26,174.79
2023-09-27,176.08
2023-09-28,171.96
2023-09-29,170.43
2023-10-02,170.69
2023-10-03,171.21
2023-10-04,173.75
2023-10-05,172.4
2023-10-06,173.66
2023-10-09,174.91
2023-10-10,177.49
2023-10-11,178.99
2023-10-12,178.39
2023-10-13,179.8
2023-10-16,180.71
2023-10-17,178.85
2023-10-18,178.72
2023-10-19,177.15
2023-10-20,175.84
2023-10-23,175.46
2023-10-24,172.88
2023-10-25,173.0
2023-10-26,173.44
2023-10-27,171.1
2023-10-30,166.89
2023-10-31,168.22
2023-11-01,170.29
2023-11-02,170.77
2023-11-03,173.97
2023-11-06,177.57
2023-11-07,176.65
2023-11-08,179.23
2023-11-09,181.82
2023-11-10,182.89
2023-11-13,182.41
2023-11-14,186.4
2023-11-15,184.8
2023-11-16,187.44
2023-11-17,188.01
2023-11-20,189.71
2023-11-21,189.69
2023-11-22,191.45
