date,closingPrice
2022-12-29,10.06
2022-12-30,9.8
2023-01-03,9.99
2023-01-04,9.75
2023-01-05,9.63
2023-01-06,10.63
2023-01-09,10.86
2023-01-10,10.37
2023-01-11,10.76
2023-01-12,11.24
2023-01-13,11.51
2023-01-17,11.81
2023-01-18,11.8
2023-01-19,11.41
2023-01-20,11.01
2023-01-23,10.77
2023-01-24,11.07
2023-01-25,12.06
2023-01-26,11.68
2023-01-27,11.63
2023-01-30,12.17
2023-01-31,12.71
2023-02-01,12.02
2023-02-02,12.07
2023-02-03,12.1
2023-02-06,11.96
2023-02-07,11.19
2023-02-08,10.93
2023-02-09,10.92
2023-02-10,10.65
2023-02-13,10.47
2023-02-14,10.31
2023-02-15,10.31
2023-02-16,10.31
2023-02-17,10.5
2023-02-21,10.19
2023-02-22,10.19
2023-02-23,10.03
2023-02-24,10.18
2023-02-27,9.79
2023-02-28,9.3
2023-03-01,9.33
2023-03-02,9.39
2023-03-03,8.83
2023-03-06,9.09
2023-03-07,9.57
2023-03-08,9.31
2023-03-09,8.97
2023-03-10,9.18
2023-03-13,8.79
2023-03-14,8.51
2023-03-15,8.55
2023-03-16,8.42
2023-03-17,8.25
2023-03-20,8.5
2023-03-21,8.26
2023-03-22,8.75
2023-03-23,9.27
2023-03-24,9.09
2023-03-27,9.27
2023-03-28,9.07
2023-03-29,8.93
2023-03-30,9.2
2023-03-31,9.83
2023-04-03,10.46
2023-04-04,10.51
2023-04-05,9.8
2023-04-06,9.21
2023-04-10,8.96
2023-04-11,9.01
2023-04-12,9.05
2023-04-13,9.52
2023-04-14,9.01
2023-04-17,9.1
2023-04-18,9.27
2023-04-19,9.83
2023-04-20,9.47
2023-04-21,8.79
2023-04-24,8.28
2023-04-25,8.33
2023-04-26,8.29
2023-04-27,7.9
2023-04-28,7.68
2023-05-01,7.97
2023-05-02,7.87
2023-05-03,7.81
2023-05-04,7.45
2023-05-05,7.64
2023-05-08,8.06
2023-05-09,8.15
2023-05-10,8.27
2023-05-11,8.16
2023-05-12,8.13
2023-05-15,8.45
2023-05-16,7.95
2023-05-17,8.25
2023-05-18,7.91
2023-05-19,8.03
2023-05-22,7.82
2023-05-23,8.07
2023-05-24,8.79
2023-05-25,8.75
2023-05-26,7.92
2023-05-30,7.54
2023-05-31,7.7
2023-06-01,7.41
2023-06-02,7.53
2023-06-05,7.54
2023-06-06,7.56
2023-06-07,7.67
2023-06-08,7.88
2023-06-09,7.76
2023-06-12,7.79
2023-06-13,7.73
2023-06-14,8.4
2023-06-15,8.89
2023-06-16,9.05
2023-06-20,9.79
2023-06-21,9.4
2023-06-22,9.35
2023-06-23,9.07
2023-06-26,8.92
2023-06-27,8.43
2023-06-28,8.4
2023-06-29,9.34
2023-06-30,9.52
2023-07-03,9.39
2023-07-05,9.69
2023-07-06,10.03
2023-07-07,10.22
2023-07-10,9.56
2023-07-11,9.99
2023-07-12,10.78
2023-07-13,10.81
2023-07-14,11.16
2023-07-17,10.76
2023-07-18,10.54
2023-07-19,10.56
2023-07-20,10.42
2023-07-21,10.64
2023-07-24,10.32
2023-07-25,10.58
2023-07-26,11.73
2023-07-27,11.91
2023-07-28,13.17
2023-07-31,13.24
2023-08-01,14.74
2023-08-02,15.3
2023-08-03,14.63
2023-08-04,14.57
2023-08-07,15.46
2023-08-08,14.72
2023-08-09,14.82
2023-08-10,14.07
2023-08-11,13.46
2023-08-14,13.25
2023-08-15,12.9
2023-08-16,12.52
2023-08-17,11.83
2023-08-18,11.4
2023-08-21,11.5
2023-08-22,10.67
2023-08-23,10.95
2023-08-24,10.79
2023-08-25,10.84
2023-08-28,10.64
2023-08-29,10.83
2023-08-30,11.02
2023-08-31,10.89
2023-09-01,10.67
2023-09-05,10.27
2023-09-06,11.0
2023-09-07,10.81
2023-09-08,10.58
2023-09-11,10.08
2023-09-12,10.04
2023-09-13,10.33
2023-09-14,10.57
2023-09-15,10.07
2023-09-18,10.38
2023-09-19,10.43
2023-09-20,10.31
2023-09-21,8.55
2023-09-22,8.82
2023-09-25,8.45
2023-09-26,8.53
2023-09-27,8.35
2023-09-28,8.41
2023-09-29,8.46
2023-10-02,8.91
2023-10-03,9.04
2023-10-04,8.79
2023-10-05,8.61
2023-10-06,8.83
2023-10-09,8.66
2023-10-10,8.72
2023-10-11,8.34
2023-10-12,8.83
2023-10-13,8.97
2023-10-16,8.44
2023-10-17,8.47
2023-10-18,8.52
2023-10-19,8.53
2023-10-20,7.91
2023-10-23,7.69
2023-10-24,7.58
2023-10-25,7.59
2023-10-26,8.09
2023-10-27,7.6
2023-10-30,7.63
2023-10-31,7.44
2023-11-01,7.52
2023-11-02,7.3
2023-11-03,7.45
2023-11-06,7.79
2023-11-07,8.23
2023-11-08,7.97
2023-11-09,7.89
2023-11-10,7.92
2023-11-13,7.47
2023-11-14,7.24
2023-11-15,7.22
2023-11-16,7.58
2023-11-17,7.94
2023-11-20,7.4
2023-11-21,7.39
2023-11-22,7.8
