Date_1,Date_2,Date_3,Predicted_Close_1,Predicted_Close_2,Predicted_Close_3,Actual_Close_1,Actual_Close_2,Actual_Close_3
2023-11-24,2023-11-27,2023-11-28,5.596735,4.3435926,6.413489,3.565,3.48,3.47
2023-11-27,2023-11-28,2023-11-29,5.944898,4.7458673,6.6917443,3.48,3.47,3.42
2023-11-28,2023-11-29,2023-11-30,6.132515,5.036677,6.797344,3.47,3.42,3.84
2023-11-29,2023-11-30,2023-12-01,6.1604314,5.18577,6.741896,3.42,3.84,3.93
2023-11-30,2023-12-01,2023-12-04,6.171557,5.3176584,6.673333,3.84,3.93,4.04
2023-12-01,2023-12-04,2023-12-05,6.2519674,5.502564,6.688324,3.93,4.04,4.54
2023-12-04,2023-12-05,2023-12-06,6.6107273,5.917677,7.0066338,4.04,4.54,4.8
2023-12-05,2023-12-06,2023-12-07,7.137208,6.478634,7.5093865,4.54,4.8,4.24
2023-12-06,2023-12-07,2023-12-08,7.4074626,6.837978,7.7295685,4.8,4.24,3.99
2023-12-07,2023-12-08,2023-12-11,7.4739304,7.0021014,7.7410917,4.24,3.99,4.09
2023-12-08,2023-12-11,2023-12-12,3.6974363,4.2381015,3.4018743,3.99,4.09,4.01
2023-12-11,2023-12-12,2023-12-13,3.7329106,4.260985,3.4244742,4.09,4.01,4.09
2023-12-12,2023-12-13,2023-12-14,3.0646935,3.5045052,2.7699046,4.01,4.09,3.93
2023-12-13,2023-12-14,2023-12-15,2.6215909,2.9516985,2.3557684,4.09,3.93,4.31
2023-12-14,2023-12-15,2023-12-18,2.4431286,2.714259,2.1937714,3.93,4.31,4.79
2023-12-15,2023-12-18,2023-12-19,2.5041206,2.7387586,2.2778296,4.31,4.79,4.71
2023-12-18,2023-12-19,2023-12-20,2.3342404,2.5525186,2.1144989,4.79,4.71,4.43
2023-12-19,2023-12-20,2023-12-21,2.3670444,2.5661993,2.1633606,4.71,4.43,4.41
2023-12-20,2023-12-21,2023-12-22,2.6179852,2.7860854,2.4158442,4.43,4.41,4.16
2023-12-21,2023-12-22,2023-12-26,2.991186,3.16772,2.7909381,4.41,4.16,4.41
2023-12-22,2023-12-26,2023-12-27,3.1461637,3.126093,3.0317366,4.16,4.41,4.52
2023-12-26,2023-12-27,2023-12-28,3.7612371,3.7725816,3.7289095,4.41,4.52,4.78
2023-12-27,2023-12-28,2023-12-29,3.7318356,3.757694,3.7160463,4.52,4.78,4.71
2023-12-28,2023-12-29,2024-01-02,3.7525551,3.7936833,3.753754,4.78,4.71,4.71
2023-12-29,2024-01-02,2024-01-03,3.8706722,3.922776,3.8676095,4.71,4.71,4.5
2024-01-02,2024-01-03,2024-01-04,4.106656,4.160261,4.1036477,4.71,4.5,4.59
2024-01-03,2024-01-04,2024-01-05,4.2462378,4.297624,4.2535996,4.5,4.59,4.38
2024-01-04,2024-01-05,2024-01-08,4.307062,4.366026,4.3150563,4.59,4.38,4.29
2024-01-05,2024-01-08,2024-01-09,4.272581,4.332054,4.2882123,4.38,4.29,4.25
2024-01-08,2024-01-09,2024-01-10,4.1483455,4.2067122,4.1611767,4.29,4.25,4.35
2024-01-09,2024-01-10,2024-01-11,4.0600214,4.10999,4.0710998,4.25,4.35,4.2
2024-01-10,2024-01-11,2024-01-12,3.8523834,3.9145992,3.8738008,4.35,4.2,4.04
2024-01-11,2024-01-12,2024-01-16,3.6894293,3.7501252,3.7178283,4.2,4.04,3.72
2024-01-12,2024-01-16,2024-01-17,3.582876,3.6462984,3.6100693,4.04,3.72,3.44
2024-01-16,2024-01-17,2024-01-18,3.5041554,3.5758324,3.5494523,3.72,3.44,3.04
