date,closingPrice
2022-12-29,11.72
2022-12-30,11.71
2023-01-03,12.23
2023-01-04,12.37
2023-01-05,12.18
2023-01-06,13.0
2023-01-09,12.66
2023-01-10,13.41
2023-01-11,14.22
2023-01-12,14.95
2023-01-13,16.21
2023-01-17,16.79
2023-01-18,16.49
2023-01-19,16.83
2023-01-20,16.7
2023-01-23,15.31
2023-01-24,15.9
2023-01-25,17.44
2023-01-26,16.74
2023-01-27,16.34
2023-01-30,15.37
2023-01-31,15.86
2023-02-01,15.71
2023-02-02,17.02
2023-02-03,17.68
2023-02-06,17.89
2023-02-07,17.38
2023-02-08,16.48
2023-02-09,16.14
2023-02-10,15.9
2023-02-13,15.36
2023-02-14,15.36
2023-02-15,15.47
2023-02-16,15.81
2023-02-17,16.77
2023-02-21,15.84
2023-02-22,15.58
2023-02-23,14.43
2023-02-24,14.54
2023-02-27,14.65
2023-02-28,14.18
2023-03-01,14.66
2023-03-02,14.87
2023-03-03,14.21
2023-03-06,13.33
2023-03-07,13.84
2023-03-08,13.67
2023-03-09,13.4
2023-03-10,13.78
2023-03-13,13.02
2023-03-14,12.35
2023-03-15,12.4
2023-03-16,12.16
2023-03-17,11.8
2023-03-20,11.8
2023-03-21,11.17
2023-03-22,10.84
2023-03-23,11.52
2023-03-24,11.22
2023-03-27,11.49
2023-03-28,11.23
2023-03-29,10.72
2023-03-30,10.4
2023-03-31,11.03
2023-04-03,11.25
2023-04-04,11.72
2023-04-05,11.12
2023-04-06,10.58
2023-04-10,9.68
2023-04-11,9.27
2023-04-12,9.36
2023-04-13,9.76
2023-04-14,9.39
2023-04-17,9.3
2023-04-18,9.04
2023-04-19,9.5
2023-04-20,9.02
2023-04-21,9.0
2023-04-24,8.85
2023-04-25,9.05
2023-04-26,9.27
2023-04-27,8.91
2023-04-28,8.47
2023-05-01,8.97
2023-05-02,9.03
2023-05-03,8.83
2023-05-04,8.59
2023-05-05,8.86
2023-05-08,8.78
2023-05-09,9.29
2023-05-10,9.29
2023-05-11,8.005
2023-05-12,7.83
2023-05-15,7.65
2023-05-16,7.48
2023-05-17,7.85
2023-05-18,7.55
2023-05-19,8.04
2023-05-22,7.87
2023-05-23,7.73
2023-05-24,8.83
2023-05-25,8.81
2023-05-26,8.46
2023-05-30,8.38
2023-05-31,8.25
2023-06-01,8.84
2023-06-02,8.32
2023-06-05,8.46
2023-06-06,8.77
2023-06-07,8.42
2023-06-08,9.04
2023-06-09,9.55
2023-06-12,9.52
2023-06-13,9.17
2023-06-14,10.37
2023-06-15,10.91
2023-06-16,10.69
2023-06-20,10.82
2023-06-21,10.57
2023-06-22,9.98
2023-06-23,9.88
2023-06-26,9.68
2023-06-27,9.2
2023-06-28,9.13
2023-06-29,9.26
2023-06-30,9.44
2023-07-03,10.0
2023-07-05,10.39
2023-07-06,10.3
2023-07-07,10.64
2023-07-10,9.95
2023-07-11,10.61
2023-07-12,10.95
2023-07-13,11.18
2023-07-14,11.5
2023-07-17,12.36
2023-07-18,12.14
2023-07-19,12.76
2023-07-20,12.79
2023-07-21,13.17
2023-07-24,12.62
2023-07-25,12.39
2023-07-26,12.33
2023-07-27,11.83
2023-07-28,12.01
2023-07-31,11.65
2023-08-01,11.86
2023-08-02,13.12
2023-08-03,12.76
2023-08-04,11.65
2023-08-07,11.715
2023-08-08,11.56
2023-08-09,11.05
2023-08-10,10.91
2023-08-11,10.75
2023-08-14,9.05
2023-08-15,9.11
2023-08-16,9.29
2023-08-17,8.89
2023-08-18,8.58
2023-08-21,8.59
2023-08-22,8.64
2023-08-23,8.84
2023-08-24,8.43
2023-08-25,8.2
2023-08-28,7.99
2023-08-29,8.13
2023-08-30,8.33
2023-08-31,8.88
2023-09-01,8.57
2023-09-05,8.46
2023-09-06,8.51
2023-09-07,8.56
2023-09-08,8.45
2023-09-11,8.27
2023-09-12,7.96
2023-09-13,7.99
2023-09-14,8.3
2023-09-15,8.21
2023-09-18,8.73
2023-09-19,8.52
2023-09-20,8.15
2023-09-21,8.24
2023-09-22,8.09
2023-09-25,7.6
2023-09-26,7.43
2023-09-27,7.47
2023-09-28,7.55
2023-09-29,7.73
2023-10-02,7.57
2023-10-03,7.6
2023-10-04,6.825
2023-10-05,6.53
2023-10-06,6.53
2023-10-09,6.4
2023-10-10,6.61
2023-10-11,6.41
2023-10-12,7.16
2023-10-13,7.54
2023-10-16,7.41
2023-10-17,7.34
2023-10-18,7.51
2023-10-19,7.72
2023-10-20,7.0
2023-10-23,6.56
2023-10-24,6.1
2023-10-25,5.88
2023-10-26,6.3
2023-10-27,6.22
2023-10-30,6.26
2023-10-31,5.9
2023-11-01,5.7
2023-11-02,5.89
2023-11-03,5.75
2023-11-06,6.27
2023-11-07,6.62
2023-11-08,6.26
2023-11-09,6.23
2023-11-10,6.02
2023-11-13,5.93
2023-11-14,3.53
2023-11-15,3.47
2023-11-16,4.23
2023-11-17,4.35
2023-11-20,4.18
2023-11-21,4.0
2023-11-22,3.87
