Date_1,Date_2,Date_3,Predicted_Close_1,Predicted_Close_2,Predicted_Close_3,Actual_Close_1,Actual_Close_2,Actual_Close_3
2023-11-24,2023-11-27,2023-11-28,239.99298,240.0303,240.57936,241.2,234.21,235.45
2023-11-27,2023-11-28,2023-11-29,241.27652,241.30298,241.85193,234.21,235.45,236.08
2023-11-28,2023-11-29,2023-11-30,242.55052,242.571,243.10507,235.45,236.08,246.72
2023-11-29,2023-11-30,2023-12-01,243.94461,243.9606,244.47063,236.08,246.72,244.14
2023-11-30,2023-12-01,2023-12-04,243.70332,243.73105,244.23291,246.72,244.14,240.08
2023-12-01,2023-12-04,2023-12-05,243.63542,243.69115,244.17914,244.14,240.08,238.83
2023-12-04,2023-12-05,2023-12-06,245.87062,245.86546,246.36133,240.08,238.83,235.58
2023-12-05,2023-12-06,2023-12-07,246.37827,246.37245,246.86058,238.83,235.58,238.72
2023-12-06,2023-12-07,2023-12-08,245.24591,245.3122,245.78793,235.58,238.72,239.37
2023-12-07,2023-12-08,2023-12-11,244.47594,244.59026,245.05568,238.72,239.37,242.64
2023-12-08,2023-12-11,2023-12-12,244.78926,244.9075,245.37022,239.37,242.64,243.84
2023-12-11,2023-12-12,2023-12-13,245.29393,245.39868,245.86736,242.64,243.84,239.74
2023-12-12,2023-12-13,2023-12-14,246.15118,246.21385,246.69946,243.84,239.74,237.01
2023-12-13,2023-12-14,2023-12-15,245.77473,245.85443,246.3146,239.74,237.01,239.29
2023-12-14,2023-12-15,2023-12-18,245.18742,245.22852,245.67857,237.01,239.29,251.05
2023-12-15,2023-12-18,2023-12-19,242.95985,243.44508,243.93657,239.29,251.05,253.5
2023-12-18,2023-12-19,2023-12-20,240.52237,241.08801,241.48842,251.05,253.5,252.08
2023-12-19,2023-12-20,2023-12-21,247.22435,247.50746,248.0013,253.5,252.08,257.22
2023-12-20,2023-12-21,2023-12-22,252.50175,252.54543,253.10086,252.08,257.22,247.14
2023-12-21,2023-12-22,2023-12-26,254.57909,254.52318,255.06473,257.22,247.14,254.5
2023-12-22,2023-12-26,2023-12-27,254.91895,254.85995,255.38329,247.14,254.5,252.54
2023-12-26,2023-12-27,2023-12-28,252.91039,252.89929,253.39061,254.5,252.54,256.61
2023-12-27,2023-12-28,2023-12-29,253.2244,253.24101,253.6774,252.54,256.61,261.44
2023-12-28,2023-12-29,2024-01-02,253.36806,253.38426,253.82924,256.61,261.44,253.18
2023-12-29,2024-01-02,2024-01-03,254.54826,254.54402,254.95964,261.44,253.18,248.48
2024-01-02,2024-01-03,2024-01-04,256.0105,255.97763,256.40826,253.18,248.48,248.42
2024-01-03,2024-01-04,2024-01-05,253.79666,253.83702,254.22498,248.48,248.42,238.45
2024-01-04,2024-01-05,2024-01-08,249.57404,249.73717,250.02449,248.42,238.45,237.93
2024-01-05,2024-01-08,2024-01-09,247.05386,247.28459,247.54619,238.45,237.93,237.49
2024-01-08,2024-01-09,2024-01-10,239.12346,239.6011,239.67403,237.93,237.49,240.45
2024-01-09,2024-01-10,2024-01-11,237.58447,238.11809,238.14345,237.49,240.45,234.96
2024-01-10,2024-01-11,2024-01-12,237.21208,237.68121,237.66629,240.45,234.96,233.94
2024-01-11,2024-01-12,2024-01-16,236.0793,236.5376,236.51068,234.96,233.94,227.22
2024-01-12,2024-01-16,2024-01-17,232.97748,233.45145,233.37968,233.94,227.22,218.89
2024-01-16,2024-01-17,2024-01-18,230.02286,230.47452,230.35167,227.22,218.89,219.91
2024-01-17,2024-01-18,2024-01-19,229.11969,229.55893,229.42139,218.89,219.91,215.55
2024-01-18,2024-01-19,2024-01-22,219.12856,219.50331,219.4101,219.91,215.55,211.88
2024-01-19,2024-01-22,2024-01-23,219.57544,219.94916,219.96443,215.55,211.88,212.19
2024-01-22,2024-01-23,2024-01-24,217.93918,218.34688,218.41959,211.88,212.19,208.8
2024-01-23,2024-01-24,2024-01-25,212.59915,213.01482,213.16994,212.19,208.8,209.14
2024-01-24,2024-01-25,2024-01-26,206.62047,207.11288,207.40746,208.8,209.14,207.83
2024-01-25,2024-01-26,2024-01-29,206.64587,207.12502,207.47565,209.14,207.83,182.63
2024-01-26,2024-01-29,2024-01-30,209.30234,209.71431,210.04225,207.83,182.63,183.25
2024-01-29,2024-01-30,2024-01-31,204.77852,205.26318,205.67961,182.63,183.25,190.93
2024-01-30,2024-01-31,2024-02-01,183.07535,183.75674,184.31891,183.25,190.93,191.59
2024-01-31,2024-02-01,2024-02-02,183.20508,184.04684,184.66261,190.93,191.59,187.29
2024-02-01,2024-02-02,2024-02-05,191.80942,192.71826,193.32018,191.59,187.29,188.86
2024-02-02,2024-02-05,2024-02-06,190.74934,191.62439,192.25285,187.29,188.86,187.91
2024-02-05,2024-02-06,2024-02-07,186.90182,187.73947,188.3708,188.86,187.91,181.06
2024-02-06,2024-02-07,2024-02-08,186.04483,186.88371,187.58136,187.91,181.06,185.1
2024-02-07,2024-02-08,2024-02-09,181.51971,182.44373,183.22925,181.06,185.1,187.58
2024-02-08,2024-02-09,2024-02-12,175.50815,176.5019,177.36989,185.1,187.58,189.56
2024-02-09,2024-02-12,2024-02-13,176.75386,177.83818,178.72455,187.58,189.56,193.57
2024-02-12,2024-02-13,2024-02-14,186.12712,187.156,187.96042,189.56,193.57,188.13
2024-02-13,2024-02-14,2024-02-15,181.78342,183.0265,183.8109,193.57,188.13,184.02
2024-02-14,2024-02-15,,187.85886,188.96565,,188.13,184.02,
2024-02-15,,,184.28609,,,184.02,,
