date,closingPrice
2022-12-29,109.1
2022-12-30,112.71
2023-01-03,121.82
2023-01-04,123.18
2023-01-05,108.1
2023-01-06,113.64
2023-01-09,110.34
2023-01-10,113.06
2023-01-11,119.77
2023-01-12,118.85
2023-01-13,123.22
2023-01-17,123.56
2023-01-18,122.4
2023-01-19,131.49
2023-01-20,128.78
2023-01-23,127.17
2023-01-24,133.42
2023-01-25,143.75
2023-01-26,143.89
2023-01-27,144.43
2023-01-30,160.27
2023-01-31,177.9
2023-02-01,166.66
2023-02-02,173.22
2023-02-03,181.41
2023-02-06,188.27
2023-02-07,189.98
2023-02-08,194.76
2023-02-09,196.81
2023-02-10,201.29
2023-02-13,207.32
2023-02-14,196.89
2023-02-15,194.64
2023-02-16,209.25
2023-02-17,214.24
2023-02-21,202.04
2023-02-22,208.31
2023-02-23,197.37
2023-02-24,200.86
2023-02-27,202.07
2023-02-28,196.88
2023-03-01,207.63
2023-03-02,205.71
2023-03-03,202.77
2023-03-06,190.9
2023-03-07,197.79
2023-03-08,193.81
2023-03-09,187.71
2023-03-10,182.0
2023-03-13,172.92
2023-03-14,173.44
2023-03-15,174.48
2023-03-16,183.26
2023-03-17,180.45
2023-03-20,184.13
2023-03-21,180.13
2023-03-22,183.25
2023-03-23,197.58
2023-03-24,191.15
2023-03-27,192.22
2023-03-28,190.41
2023-03-29,191.81
2023-03-30,189.19
2023-03-31,193.88
2023-04-03,195.28
2023-04-04,207.46
2023-04-05,194.77
2023-04-06,192.58
2023-04-10,185.52
2023-04-11,185.06
2023-04-12,184.51
2023-04-13,186.79
2023-04-14,180.54
2023-04-17,185.9
2023-04-18,185.0
2023-04-19,187.04
2023-04-20,184.31
2023-04-21,180.59
2023-04-24,162.99
2023-04-25,165.08
2023-04-26,162.55
2023-04-27,160.67
2023-04-28,153.75
2023-05-01,160.19
2023-05-02,164.31
2023-05-03,161.83
2023-05-04,160.31
2023-05-05,160.61
2023-05-08,161.2
2023-05-09,170.06
2023-05-10,171.79
2023-05-11,169.15
2023-05-12,168.54
2023-05-15,172.08
2023-05-16,167.98
2023-05-17,166.35
2023-05-18,166.52
2023-05-19,173.86
2023-05-22,176.89
2023-05-23,180.14
2023-05-24,188.87
2023-05-25,185.77
2023-05-26,182.9
2023-05-30,184.47
2023-05-31,193.17
2023-06-01,201.16
2023-06-02,203.93
2023-06-05,207.52
2023-06-06,213.97
2023-06-07,217.61
2023-06-08,221.31
2023-06-09,224.57
2023-06-12,234.86
2023-06-13,244.4
2023-06-14,249.83
2023-06-15,258.71
2023-06-16,256.79
2023-06-20,255.9
2023-06-21,260.54
2023-06-22,274.45
2023-06-23,259.46
2023-06-26,264.61
2023-06-27,256.6
2023-06-28,241.05
2023-06-29,250.21
2023-06-30,256.24
2023-07-03,257.5
2023-07-05,261.77
2023-07-06,279.82
2023-07-07,282.48
2023-07-10,276.54
2023-07-11,274.43
2023-07-12,269.61
2023-07-13,269.79
2023-07-14,271.99
2023-07-17,277.9
2023-07-18,281.38
2023-07-19,290.38
2023-07-20,293.34
2023-07-21,291.26
2023-07-24,262.9
2023-07-25,260.02
2023-07-26,269.06
2023-07-27,265.28
2023-07-28,264.35
2023-07-31,255.71
2023-08-01,266.44
2023-08-02,267.43
2023-08-03,261.07
2023-08-04,254.11
2023-08-07,259.32
2023-08-08,253.86
2023-08-09,251.45
2023-08-10,249.7
2023-08-11,242.19
2023-08-14,245.34
2023-08-15,242.65
2023-08-16,239.76
2023-08-17,232.96
2023-08-18,225.6
2023-08-21,219.22
2023-08-22,215.49
2023-08-23,231.28
2023-08-24,233.19
2023-08-25,236.86
2023-08-28,230.04
2023-08-29,238.59
2023-08-30,238.82
2023-08-31,257.18
2023-09-01,256.9
2023-09-05,258.08
2023-09-06,245.01
2023-09-07,256.49
2023-09-08,251.92
2023-09-11,251.49
2023-09-12,248.5
2023-09-13,273.58
2023-09-14,267.48
2023-09-15,271.3
2023-09-18,276.04
2023-09-19,274.39
2023-09-20,265.28
2023-09-21,266.5
2023-09-22,262.59
2023-09-25,255.7
2023-09-26,244.88
2023-09-27,246.99
2023-09-28,244.12
2023-09-29,240.5
2023-10-02,246.38
2023-10-03,250.22
2023-10-04,251.6
2023-10-05,246.53
2023-10-06,261.16
2023-10-09,260.05
2023-10-10,260.53
2023-10-11,259.67
2023-10-12,263.62
2023-10-13,262.99
2023-10-16,258.87
2023-10-17,251.12
2023-10-18,253.92
2023-10-19,254.85
2023-10-20,242.68
2023-10-23,220.11
2023-10-24,211.99
2023-10-25,212.08
2023-10-26,216.52
2023-10-27,212.42
2023-10-30,205.76
2023-10-31,207.3
2023-11-01,197.36
2023-11-02,200.84
2023-11-03,205.66
2023-11-06,218.51
2023-11-07,219.96
2023-11-08,219.27
2023-11-09,222.18
2023-11-10,222.11
2023-11-13,209.98
2023-11-14,214.65
2023-11-15,223.71
2023-11-16,237.41
2023-11-17,242.84
2023-11-20,233.59
2023-11-21,234.3
2023-11-22,235.6
