date,open,high,low,close,volume,sma_20,upper_bb,lower_bb,merged_signal
2024-02-16,741.0,744.02,725.01,726.13,49532662.0,726.13,,,nan
2024-02-15,738.69,739.75,724.0,726.58,42012181.0,726.355,726.9913961030679,725.7186038969321,nan
2024-02-14,732.02,742.36,719.38,739.0,50491742.0,730.57,745.1781210290715,715.9618789709286,nan
2024-02-13,704.0,734.5,696.2,721.28,60258015.0,728.2475,743.3659952954981,713.1290047045018,nan
2024-02-12,726.0,746.11,712.5,722.48,61371018.0,727.094,741.1665946434907,713.0214053565094,nan
2024-02-09,705.33,721.85,702.12,721.33,43663689.0,726.1333333333333,739.5713192935384,712.6953473731282,nan
2024-02-08,700.74,707.94,694.55,696.41,41442211.0,721.8871428571429,747.4864910631311,696.2877946511546,nan
2024-02-07,683.19,702.2,676.0,700.99,49557455.0,719.275,747.2044437569285,691.3455562430714,nan
2024-02-06,696.3,697.5399,663.0,682.23,68311136.0,715.1588888888889,751.1098616774583,679.2079161003195,nan
2024-02-05,682.25,694.97,672.05,693.32,68007801.0,712.975,749.5760822547945,676.3739177452055,nan
2024-02-02,639.74,666.0,636.9,661.6,47657765.0,708.3045454545455,754.8389811886439,661.7701097204472,buy
2024-02-01,621.0,631.91,616.5,630.27,36914579.0,701.8016666666667,765.0344986641684,638.5688346691651,nan
2024-01-31,614.4,622.6902,607.0,615.27,45379487.0,695.1453846153846,772.4053904896552,617.885378741114,nan
2024-01-30,629.0,634.93,622.6,627.74,41073530.0,690.3307142857144,772.8418355740823,607.8195929973465,nan
2024-01-29,612.32,624.89,609.07,624.65,34873298.0,685.952,772.393781960875,599.510218039125,nan
2024-01-26,609.6,617.83,605.73,610.31,39030859.0,681.224375,772.9002402263509,589.5485097736491,nan
2024-01-25,623.5,627.19,608.5,616.17,48277684.0,677.3976470588235,771.6046893989301,583.1906047187169,nan
2024-01-24,603.04,628.49,599.38,613.62,55706870.0,673.8544444444444,770.0668056955664,577.6420831933225,nan
2024-01-23,595.7,599.1,585.85,598.73,29465445.0,669.9005263157895,769.5533957005104,570.2476569310687,nan
2024-01-22,600.49,603.31,590.7,596.54,45295463.0,666.2325,768.6257596208828,563.8392403791171,nan
2024-01-19,579.89,595.0,572.25,594.91,54350148.0,659.6715,762.718813869841,556.624186130159,nan
2024-01-18,572.6,576.0,561.07,571.07,49165036.0,651.896,757.1309428459459,546.661057154054,nan
2024-01-17,563.47,564.7068,547.4,560.53,47439444.0,642.9725,747.3719653898394,538.5730346101606,nan
2024-01-16,550.18,568.3499,549.0,563.82,44957973.0,635.0995,738.3771542754125,531.8218457245875,nan
2024-01-12,546.2,549.7,543.3008,547.1,35299360.0,626.3305,728.1409057291636,524.5200942708365,nan
2024-01-11,549.99,553.46,535.6,548.22,59675877.0,617.675,714.8058889022818,520.5441110977181,nan
2024-01-10,536.16,546.0,534.89,543.5,53379576.0,610.0295,705.1162775356033,514.9427224643966,nan
2024-01-09,524.01,543.25,516.9,531.4,77310006.0,601.55,692.646073980918,510.4539260190819,nan
2024-01-08,495.12,522.75,494.79,522.53,64250990.0,593.5649999999999,682.8634862251611,504.2665137748388,nan
2024-01-05,484.62,495.47,483.0601,490.97,41080455.0,583.4475,670.9929061736267,495.9020938263733,nan
2024-01-04,477.67,485.0,475.08,479.98,30653489.0,574.3665,665.3880246434658,483.3449753565342,nan
2024-01-03,474.85,481.841,473.2,475.69,32089617.0,566.6375,663.7217951958977,469.5532048041024,nan
2024-01-02,492.44,492.95,475.95,481.68,41125422.0,559.958,661.2452976085456,458.67070239145437,nan
2023-12-29,498.13,499.97,487.51,495.22,38929330.0,553.332,653.2786549504757,453.3853450495243,nan
2023-12-28,496.43,498.8399,494.12,495.22,24658748.0,546.8605,644.0878265626814,449.63317343731865,nan
2023-12-27,495.11,496.8,490.85,494.17,23215431.0,541.0535,636.1750307466134,445.9319692533866,nan
2023-12-26,489.68,496.0,489.6,492.79,24419952.0,534.8845,625.3851511113534,444.38384888864664,nan
2023-12-22,491.95,493.83,484.67,488.3,25250676.0,528.6185,613.3345319817731,443.90246801822695,nan
2023-12-21,488.11,490.95,484.19,489.9,30042535.0,523.1769999999999,602.7563284716573,443.59767152834246,nan
2023-12-20,496.55,499.99,480.98,481.11,39789439.0,517.4055000000001,591.1082153609615,443.70278463903867,nan
2023-12-19,494.24,497.0,488.95,496.04,46313248.0,512.4620000000001,576.9652874233633,447.95871257663697,nan
2023-12-18,494.0,504.3299,491.5,500.77,41258717.0,508.947,567.3789714575933,450.51502854240675,nan
2023-12-15,481.94,494.04,481.2,488.9,47994758.0,505.3655,559.0751210042577,451.6558789957424,nan
2023-12-14,483.9,486.7,474.22,483.5,39123174.0,501.3495,548.2335506939579,454.46544930604205,nan
2023-12-13,476.29,485.94,476.08,480.88,44779186.0,498.0385,540.4591510161207,455.61784898387924,nan
2023-12-12,460.46,476.66,460.46,476.57,37238686.0,494.456,530.6825028891676,458.22949711083237,nan
2023-12-11,474.91,475.31,458.3,466.27,50972809.0,490.59450000000004,520.7681053879079,460.4208946120921,nan
2023-12-08,465.95,477.4085,465.5,475.06,35922370.0,487.7775,511.8044268902495,463.75057310975046,nan
2023-12-07,457.0,466.29,456.04,465.96,35082255.0,484.94900000000007,504.6862294754948,465.2117705245053,nan
2023-12-06,472.145,473.87,454.12,455.03,36778599.0,483.15199999999993,506.74821521836697,459.5557847816329,nan
2023-12-05,454.66,466.0,452.71,465.66,37171762.0,482.436,507.27386108258537,457.5981389174146,nan
2023-12-04,460.77,460.77,450.1,455.1,43754344.0,481.40649999999994,508.9781019235642,453.83489807643565,nan
2023-12-01,465.25,472.0,461.87,467.65,36931701.0,480.70500000000004,508.9529335061583,452.4570664938418,nan
2023-11-30,480.24,481.1,464.22,467.7,52624663.0,479.329,507.27940562741003,451.37859437259,nan
2023-11-29,483.79,487.62,478.6,481.4,38200465.0,478.63800000000003,505.6000986220505,451.6759013779496,nan
2023-11-28,482.36,483.229,474.73,478.21,40149085.0,477.84,503.79234174607706,451.8876582539229,nan
2023-11-27,478.0,485.3,476.52,482.42,39566190.0,477.3214999999999,502.41641982558497,452.22658017441483,nan
2023-11-24,484.7001,489.21,477.45,477.76,29464464.0,476.79449999999997,501.3556867319989,452.23331326800104,nan
2023-11-22,498.52,503.3494,476.9,487.16,90064233.0,476.65749999999997,500.9398764336003,452.3751235663996,nan
2023-11-21,501.26,505.17,492.22,499.44,56574687.0,477.57399999999996,503.86459739866814,451.2834026013318,nan
2023-11-20,493.12,505.48,491.8101,504.09,41614260.0,477.97649999999993,505.6666793535449,450.28632064645495,nan
2023-11-17,495.24,497.17,490.07,492.98,32589691.0,477.587,504.1222628144416,451.05173718555835,nan
2023-11-16,486.79,495.2469,483.3,494.8,33975624.0,477.88200000000006,505.0699761349701,450.69402386503003,nan
2023-11-15,499.35,499.6,482.0,488.88,47549735.0,478.151,505.6773723497441,450.62462765025595,nan
2023-11-14,496.8,498.34,490.4001,496.56,41695387.0,478.93499999999995,507.6559122417779,450.214087758222,nan
2023-11-13,483.2,491.16,480.9901,486.2,38413570.0,479.4165,508.2929389661941,450.5400610338059,nan
2023-11-10,475.0,484.72,472.8301,483.35,42244156.0,480.27049999999997,508.5131966619116,452.02780333808835,nan
2023-11-09,474.67,482.3,467.5,469.5,54049597.0,479.9925,508.5587508823541,451.4262491176459,nan
2023-11-08,461.0,468.67,459.68,465.74,34671894.0,479.9815,508.5706626688361,451.39233733116384,nan
2023-11-07,457.19,462.18,451.575,459.55,34316547.0,480.2075,508.02727098925595,452.387729010744,nan
2023-11-06,452.845,459.35,448.99,457.51,40073335.0,479.8,508.7334590505783,450.86654094942173,nan
2023-11-03,440.2,453.0899,437.23,450.05,42460959.0,479.5475,509.4601319910417,449.63486800895834,nan
2023-11-02,433.28,438.84,428.94,435.06,40917187.0,477.918,513.5613152217903,442.2746847782097,nan
2023-11-01,408.84,423.81,408.69,423.25,43759290.0,475.6955,518.7866169133733,432.60438308662657,nan
2023-10-31,404.5,408.79,392.3001,407.8,51796870.0,472.0155,524.5840923742536,419.44690762574635,nan
2023-10-30,410.87,417.66,404.81,411.61,38802814.0,468.68549999999993,527.650422480724,409.7205775192759,nan
2023-10-27,411.3,412.06,400.15,405.0,41678441.0,464.81450000000007,529.8369390337263,399.7920609662739,nan
2023-10-26,418.53,422.5555,398.8019,403.26,54100132.0,461.08950000000004,531.3168998034798,390.86210019652026,nan
2023-10-25,433.98,436.5,415.55,417.79,39837922.0,457.621,529.2649035934332,385.9770964065667,nan
2023-10-24,430.77,436.97,426.91,436.63,40146337.0,454.4805,523.8772554148259,385.08374458517414,nan
2023-10-23,412.29,432.4799,409.45,429.75,47853049.0,450.7635,516.8571245910213,384.6698754089788,nan
2023-10-20,418.9,424.7,410.78,413.87,47726605.0,446.808,511.7220680884303,381.89393191156967,nan
2023-10-19,428.11,432.97,418.82,421.01,50123308.0,443.1184999999999,504.8578138505501,381.37918614944977,nan
2023-10-18,425.91,432.19,418.25,421.96,62729434.0,439.77250000000004,498.23604073041366,381.3089592695864,nan
2023-10-17,440.0,447.54,424.8,439.38,81233267.0,436.9135,488.92015515104663,384.90684484895337,nan
2023-10-16,450.63,462.25,449.12,460.95,37509924.0,435.651,483.69484834929875,387.60715165070127,nan
2023-10-13,469.6,471.16,452.8,454.61,47542599.0,434.21399999999994,477.75938752539383,390.66861247460605,nan
2023-10-12,467.77,476.09,463.3,469.45,48132500.0,434.2115,477.74836267496585,390.67463732503415,nan
2023-10-11,461.96,468.59,460.5,468.06,37813689.0,434.3275,478.22890382601247,390.4260961739875,nan
2023-10-10,453.1,462.59,450.88,457.98,36858208.0,434.2490000000001,477.9657340716874,390.53226592831277,nan
2023-10-09,448.42,456.05,443.68,452.73,40967472.0,434.01000000000005,477.2408535046063,390.7791464953938,nan
2023-10-06,441.93,457.89,440.26,457.62,43443602.0,434.3884999999999,478.33725497907085,390.43974502092897,nan
2023-10-05,440.5,449.0,438.88,446.88,39348309.0,434.97950000000003,479.28274473087833,390.6762552691217,nan
2023-10-04,437.42,441.43,432.9201,440.41,36182086.0,435.8375,479.8479747699178,391.82702523008214,nan
2023-10-03,448.08,451.3,432.46,435.17,47084954.0,437.206,479.20165711882595,395.2103428811741,nan
2023-10-02,440.3,451.75,438.61,447.82,43329821.0,439.0165,479.4593403786706,398.5736596213294,nan
2023-09-29,438.27,441.44,433.0694,434.99,39782993.0,440.51599999999996,477.74454388771994,403.28745611228,nan
2023-09-28,424.6,434.4631,421.15,430.89,42466279.0,441.89750000000004,475.1423991734451,408.652600826555,nan
2023-09-27,423.3,428.72,416.2901,424.68,44493520.0,442.242,474.56506629539865,409.9189337046014,nan
2023-09-26,420.01,428.2,416.55,419.11,40228209.0,441.366,475.2417956752527,407.49020432474725,nan
2023-09-25,415.91,425.36,411.77,422.22,41909096.0,440.98949999999996,475.5689526607302,406.41004733926974,nan
2023-09-22,415.72,421.15,412.31,416.1,47923631.0,441.101,475.3248125164013,406.8771874835987,nan
2023-09-21,415.83,421.0,409.8,410.17,45073596.0,440.559,476.4263948990166,404.69160510098345,nan
2023-09-20,436.0,439.03,422.23,422.39,36710769.0,440.58050000000003,476.40143799647444,404.7595620035256,nan
2023-09-19,438.33,439.66,430.02,435.2,37306424.0,440.3715,476.27062198017194,404.4723780198281,nan
2023-09-18,427.48,442.42,420.0,439.66,50027079.0,439.30699999999996,473.874756256828,404.7392437431719,nan
2023-09-15,453.41,455.99,438.08,439.0,50683051.0,438.52649999999994,472.3360136252925,404.7169863747074,nan
2023-09-14,459.5,459.8699,451.31,455.81,37009720.0,437.8445,469.5098531232631,406.17914687673687,nan
2023-09-13,446.0,459.3,445.03,454.85,39835535.0,437.184,466.67185541272886,407.6961445872712,nan
2023-09-12,447.38,456.73,445.31,448.7,34925634.0,436.71999999999997,465.1013259584148,408.33867404158514,nan
2023-09-11,461.48,461.63,443.12,451.78,47396555.0,436.6725,464.9439726032761,408.4010273967239,nan
2023-09-08,459.42,466.06,452.71,455.72,47389994.0,436.57750000000004,464.56392819578434,408.59107180421574,nan
2023-09-07,455.25,463.44,451.52,462.41,43332989.0,437.354,467.3347246146745,407.3732753853255,nan
2023-09-06,484.41,485.49,465.8,470.61,46866957.0,438.86400000000003,472.3320638975805,405.39593610241957,nan
2023-09-05,482.23,488.5081,478.6,485.48,38265258.0,441.3795,480.72514697383144,402.0338530261686,sell
2023-09-01,497.62,498.0,481.416,485.09,46383030.0,443.24300000000005,487.14014010586095,399.34585989413915,nan
2023-08-31,493.8,497.44,489.58,493.55,52856977.0,446.171,495.25583178721143,397.08616821278855,nan
2023-08-30,490.44,499.27,484.25,492.64,73520598.0,449.2585,501.9332302943152,396.58376970568486,nan
2023-08-29,466.66,490.81,463.9101,487.84,70139699.0,452.4165,506.44271089999205,398.3902891000079,nan
2023-08-28,464.82,469.8,448.88,468.35,68519223.0,454.8785,506.9670360758604,402.78996392413956,nan
2023-08-25,470.12,478.05,450.24,460.18,92534052.0,456.77650000000006,506.5702942762043,406.9827057237958,nan
2023-08-24,502.16,502.66,471.59,471.63,115604409.0,459.55300000000005,505.8679947754778,413.2380052245223,nan
2023-08-23,458.66,472.0,452.08,471.16,77904608.0,462.6025000000001,502.8626455667083,422.34235443329186,nan
2023-08-22,481.35,481.87,453.331,456.68,75720691.0,464.317,500.0305310344311,428.60346896556894,nan
2023-08-21,444.94,470.65,442.22,469.67,69257337.0,466.04049999999995,499.06318214105835,433.01781785894156,nan
