Date,Total_Comments,Positive_Percentage,Negative_Percentage
2023-11-10,5,60.00,40.00
2023-11-11,2,100.00,0.00
2023-11-12,7,57.14,28.57
2023-11-17,1,0.00,100.00
2023-11-18,1,100.00,0.00
2023-11-21,1,0.00,100.00
2023-11-23,2,50.00,50.00
2023-11-26,1,0.00,0.00
2023-12-07,2,50.00,50.00
2023-12-08,3,66.67,0.00
2023-12-12,1,100.00,0.00
2023-12-14,1,100.00,0.00
2023-12-15,3,100.00,0.00
2023-12-19,1,100.00,0.00
2023-12-20,1,100.00,0.00
2023-12-22,2,0.00,50.00
2023-12-25,2,50.00,50.00
2023-12-26,3,100.00,0.00
2023-12-27,13,46.15,15.38
2023-12-28,3,33.33,0.00
2023-12-29,14,64.29,28.57
2023-12-30,4,50.00,0.00
2023-12-31,3,66.67,33.33
2024-01-01,15,53.33,6.67
2024-01-02,6,50.00,16.67
2024-01-03,5,60.00,40.00
2024-01-04,5,100.00,0.00
2024-01-05,8,75.00,25.00
2024-01-06,1,100.00,0.00
2024-01-07,29,68.97,17.24
2024-01-08,7,85.71,14.29
2024-01-09,6,50.00,16.67
2024-01-10,11,54.55,36.36
2024-01-11,8,75.00,0.00
2024-01-12,9,44.44,44.44
2024-01-13,6,66.67,16.67
2024-01-14,1,100.00,0.00
2024-01-16,26,57.69,19.23
2024-01-17,19,31.58,21.05
2024-01-18,8,75.00,12.50
2024-01-19,17,70.59,17.65
2024-01-20,12,41.67,50.00
2024-01-21,5,60.00,40.00
2024-01-22,44,75.00,11.36
2024-01-23,2,100.00,0.00
2024-01-24,28,39.29,39.29
2024-01-25,21,80.95,9.52
2024-01-26,5,60.00,40.00
2024-01-27,6,83.33,16.67
2024-01-28,7,28.57,57.14
2024-01-29,3,66.67,33.33
2024-01-30,8,37.50,50.00
2024-01-31,5,40.00,40.00
2024-02-01,39,48.72,23.08
2024-02-02,15,80.00,13.33
2024-02-03,1,100.00,0.00
2024-02-04,7,71.43,28.57
2024-02-05,5,80.00,0.00
2024-02-06,11,45.45,18.18
2024-02-07,22,68.18,13.64
2024-02-08,20,55.00,15.00
2024-02-09,21,57.14,23.81
2024-02-10,13,69.23,23.08
2024-02-11,26,69.23,15.38
2024-02-12,18,55.56,27.78
2024-02-13,8,62.50,12.50
2024-02-14,52,59.62,19.23
2024-02-15,25,44.00,28.00
2024-02-16,28,53.57,21.43
2024-02-17,19,42.11,26.32
2024-02-18,1,100.00,0.00
