Date,Total_Comments,Positive_Percentage,Negative_Percentage
2023-11-01,1,0.00,100.00
2023-11-02,1,100.00,0.00
2023-11-03,1,0.00,0.00
2023-11-07,1,0.00,100.00
2023-11-10,6,83.33,16.67
2023-11-12,3,100.00,0.00
2023-11-13,2,100.00,0.00
2023-11-14,3,66.67,33.33
2023-11-16,1,100.00,0.00
2023-11-17,3,33.33,66.67
2023-11-18,7,42.86,57.14
2023-11-19,2,100.00,0.00
2023-11-20,2,100.00,0.00
2023-11-21,4,50.00,50.00
2023-11-22,1,100.00,0.00
2023-11-23,3,66.67,0.00
2023-11-24,3,66.67,33.33
2023-11-26,5,60.00,40.00
2023-11-28,4,75.00,0.00
2023-11-29,1,0.00,100.00
2023-11-30,3,66.67,33.33
2023-12-01,2,50.00,50.00
2023-12-03,2,50.00,50.00
2023-12-04,3,100.00,0.00
2023-12-05,3,100.00,0.00
2023-12-06,7,42.86,42.86
2023-12-07,2,50.00,50.00
2023-12-08,1,100.00,0.00
2023-12-10,4,100.00,0.00
2023-12-11,2,50.00,50.00
2023-12-12,1,0.00,0.00
2023-12-13,3,33.33,66.67
2023-12-14,3,66.67,0.00
2023-12-15,4,100.00,0.00
2023-12-16,2,0.00,50.00
2023-12-18,2,50.00,50.00
2023-12-19,2,0.00,100.00
2023-12-20,4,100.00,0.00
2023-12-22,12,83.33,0.00
2023-12-23,2,100.00,0.00
2023-12-24,8,62.50,25.00
2023-12-25,2,50.00,50.00
2023-12-26,15,53.33,40.00
2023-12-27,28,50.00,25.00
2023-12-28,24,62.50,33.33
2023-12-29,76,59.21,23.68
2023-12-30,12,75.00,16.67
2023-12-31,13,53.85,30.77
2024-01-01,17,47.06,47.06
2024-01-02,27,66.67,22.22
2024-01-03,29,65.52,27.59
2024-01-04,10,60.00,30.00
2024-01-05,58,58.62,29.31
2024-01-06,7,42.86,57.14
2024-01-07,4,75.00,0.00
2024-01-08,18,50.00,22.22
2024-01-09,22,63.64,27.27
2024-01-10,18,72.22,16.67
2024-01-11,44,54.55,25.00
2024-01-12,6,66.67,16.67
2024-01-13,31,58.06,35.48
2024-01-14,5,80.00,20.00
2024-01-15,8,87.50,12.50
2024-01-16,47,72.34,23.40
2024-01-17,45,57.78,26.67
2024-01-18,30,66.67,23.33
2024-01-19,34,50.00,38.24
2024-01-20,37,62.16,24.32
2024-01-21,71,47.89,33.80
2024-01-22,40,57.50,25.00
2024-01-23,21,61.90,19.05
2024-01-24,41,58.54,31.71
2024-01-25,44,79.55,13.64
2024-01-26,30,76.67,13.33
2024-01-27,30,70.00,26.67
2024-01-28,24,75.00,16.67
2024-01-29,18,61.11,16.67
2024-01-30,57,56.14,14.04
2024-01-31,36,58.33,33.33
2024-02-01,30,63.33,26.67
2024-02-02,28,67.86,14.29
2024-02-03,29,48.28,41.38
2024-02-04,25,52.00,32.00
2024-02-05,28,60.71,28.57
2024-02-06,52,53.85,34.62
2024-02-07,26,84.62,11.54
2024-02-08,32,56.25,34.38
2024-02-09,61,55.74,19.67
2024-02-10,52,63.46,30.77
2024-02-11,39,51.28,30.77
2024-02-12,49,79.59,12.24
2024-02-13,51,60.78,23.53
2024-02-14,55,67.27,18.18
2024-02-15,85,54.12,30.59
2024-02-16,44,75.00,13.64
2024-02-17,42,66.67,23.81
2024-02-18,21,57.14,19.05
