Date,Total_Comments,Positive_Percentage,Negative_Percentage
2023-11-10,2,50.00,50.00
2023-11-12,4,100.00,0.00
2023-11-17,9,44.44,44.44
2023-11-18,1,100.00,0.00
2023-11-20,1,100.00,0.00
2023-11-21,2,100.00,0.00
2023-11-23,4,75.00,25.00
2023-11-26,2,0.00,50.00
2023-11-29,3,66.67,33.33
2023-12-03,5,100.00,0.00
2023-12-06,5,80.00,20.00
2023-12-07,1,100.00,0.00
2023-12-08,1,0.00,100.00
2023-12-10,3,33.33,0.00
2023-12-14,2,100.00,0.00
2023-12-15,1,0.00,0.00
2023-12-17,1,100.00,0.00
2023-12-20,1,0.00,0.00
2023-12-22,7,42.86,28.57
2023-12-25,2,50.00,50.00
2023-12-26,11,63.64,18.18
2023-12-27,15,40.00,13.33
2023-12-28,19,57.89,5.26
2023-12-29,15,86.67,6.67
2023-12-30,23,65.22,13.04
2023-12-31,7,71.43,14.29
2024-01-01,23,65.22,17.39
2024-01-02,5,100.00,0.00
2024-01-03,9,77.78,22.22
2024-01-04,1,0.00,100.00
2024-01-05,13,46.15,38.46
2024-01-06,1,100.00,0.00
2024-01-07,2,100.00,0.00
2024-01-08,34,67.65,23.53
2024-01-09,23,47.83,17.39
2024-01-10,16,43.75,25.00
2024-01-11,36,72.22,19.44
2024-01-12,6,100.00,0.00
2024-01-13,8,75.00,25.00
2024-01-14,1,100.00,0.00
2024-01-15,1,100.00,0.00
2024-01-16,24,58.33,12.50
2024-01-17,37,62.16,24.32
2024-01-18,38,42.11,31.58
2024-01-19,80,57.50,22.50
2024-01-20,19,63.16,26.32
2024-01-21,19,47.37,36.84
2024-01-22,120,67.50,17.50
2024-01-23,10,60.00,20.00
2024-01-24,103,65.05,20.39
2024-01-25,48,77.08,18.75
2024-01-26,28,75.00,17.86
2024-01-27,22,63.64,18.18
2024-01-28,45,68.89,11.11
2024-01-29,12,83.33,0.00
2024-01-30,39,48.72,28.21
2024-01-31,21,71.43,19.05
2024-02-01,49,69.39,18.37
2024-02-02,42,61.90,16.67
2024-02-03,36,61.11,22.22
2024-02-04,30,70.00,20.00
2024-02-05,59,57.63,15.25
2024-02-06,43,55.81,25.58
2024-02-07,91,53.85,25.27
2024-02-08,203,39.90,19.70
2024-02-09,594,41.41,21.04
2024-02-10,132,46.97,27.27
2024-02-11,213,48.36,23.94
2024-02-12,559,41.68,24.33
2024-02-13,297,39.06,24.92
2024-02-14,431,44.55,20.88
2024-02-15,418,39.23,30.62
2024-02-16,448,43.97,25.00
2024-02-17,258,43.80,28.68
2024-02-18,74,40.54,24.32
