Date,Total_Comments,Positive_Percentage,Negative_Percentage
2023-11-18,1,0.00,100.00
2023-11-20,1,100.00,0.00
2023-11-26,3,33.33,33.33
2023-12-12,1,100.00,0.00
2023-12-21,2,100.00,0.00
2023-12-28,1,100.00,0.00
2023-12-29,1,0.00,100.00
2023-12-31,1,100.00,0.00
2024-01-03,5,80.00,20.00
2024-01-05,4,25.00,0.00
2024-01-06,25,32.00,40.00
2024-01-08,18,38.89,44.44
2024-01-09,10,30.00,60.00
2024-01-11,4,75.00,0.00
2024-01-13,3,100.00,0.00
2024-01-14,1,0.00,100.00
2024-01-15,1,0.00,100.00
2024-01-16,2,50.00,50.00
2024-01-17,25,48.00,32.00
2024-01-18,25,48.00,28.00
2024-01-19,15,46.67,26.67
2024-01-20,6,66.67,33.33
2024-01-21,9,44.44,22.22
2024-01-22,9,55.56,33.33
2024-01-23,2,100.00,0.00
2024-01-24,14,35.71,35.71
2024-01-25,7,85.71,14.29
2024-01-26,3,66.67,33.33
2024-01-27,3,100.00,0.00
2024-01-28,3,66.67,33.33
2024-01-29,1,100.00,0.00
2024-01-30,3,33.33,66.67
2024-01-31,1,100.00,0.00
2024-02-01,2,100.00,0.00
2024-02-02,3,0.00,33.33
2024-02-03,3,100.00,0.00
2024-02-04,2,50.00,50.00
2024-02-05,5,0.00,80.00
2024-02-06,2,100.00,0.00
2024-02-07,4,75.00,25.00
2024-02-08,1,0.00,0.00
2024-02-09,5,60.00,20.00
2024-02-10,3,33.33,66.67
2024-02-11,4,75.00,0.00
2024-02-12,2,50.00,50.00
2024-02-13,7,42.86,28.57
2024-02-14,9,100.00,0.00
2024-02-15,11,63.64,0.00
2024-02-16,2,100.00,0.00
2024-02-17,11,45.45,36.36
2024-02-18,10,30.00,50.00
2024-02-19,6,33.33,16.67
2024-02-20,8,50.00,25.00
2024-02-21,1,0.00,0.00
