Date,Total_Comments,Positive_Percentage,Negative_Percentage
2023-11-10,2,50.00,50.00
2023-11-12,3,100.00,0.00
2023-11-13,2,50.00,50.00
2023-11-17,2,50.00,0.00
2023-11-18,4,100.00,0.00
2023-11-19,5,60.00,20.00
2023-11-21,11,63.64,36.36
2023-11-23,1,100.00,0.00
2023-12-01,1,0.00,0.00
2023-12-06,2,100.00,0.00
2023-12-08,1,100.00,0.00
2023-12-13,2,0.00,0.00
2023-12-18,1,0.00,100.00
2023-12-19,1,0.00,0.00
2023-12-21,4,25.00,0.00
2023-12-22,4,0.00,25.00
2023-12-23,1,0.00,100.00
2023-12-24,1,100.00,0.00
2023-12-25,1,0.00,100.00
2023-12-26,2,50.00,0.00
2023-12-27,13,38.46,23.08
2023-12-28,1,0.00,100.00
2023-12-29,32,78.12,9.38
2023-12-30,9,44.44,11.11
2023-12-31,4,75.00,25.00
2024-01-01,16,56.25,18.75
2024-01-02,8,50.00,25.00
2024-01-03,10,90.00,10.00
2024-01-04,1,100.00,0.00
2024-01-05,16,31.25,43.75
2024-01-06,2,0.00,50.00
2024-01-07,3,66.67,0.00
2024-01-08,18,66.67,22.22
2024-01-09,1,100.00,0.00
2024-01-10,3,100.00,0.00
2024-01-11,6,83.33,0.00
2024-01-12,8,50.00,0.00
2024-01-13,11,81.82,18.18
2024-01-14,1,100.00,0.00
2024-01-15,1,100.00,0.00
2024-01-16,20,60.00,25.00
2024-01-17,19,57.89,31.58
2024-01-18,5,80.00,0.00
2024-01-19,23,43.48,30.43
2024-01-20,18,55.56,11.11
2024-01-21,11,45.45,27.27
2024-01-22,18,55.56,22.22
2024-01-23,21,61.90,19.05
2024-01-24,53,60.38,30.19
2024-01-25,69,47.83,28.99
2024-01-26,30,53.33,36.67
2024-01-27,18,61.11,11.11
2024-01-28,8,50.00,50.00
2024-01-29,2,50.00,0.00
2024-01-30,10,60.00,20.00
2024-01-31,10,50.00,30.00
2024-02-01,12,33.33,25.00
2024-02-02,12,66.67,16.67
2024-02-03,12,75.00,0.00
2024-02-04,2,0.00,50.00
2024-02-05,14,64.29,14.29
2024-02-06,21,61.90,23.81
2024-02-07,6,33.33,33.33
2024-02-08,19,57.89,26.32
2024-02-09,56,64.29,16.07
2024-02-10,16,43.75,18.75
2024-02-11,45,35.56,24.44
2024-02-12,54,51.85,20.37
2024-02-13,40,52.50,25.00
2024-02-14,36,27.78,44.44
2024-02-15,61,54.10,11.48
2024-02-16,24,37.50,29.17
2024-02-17,54,44.44,27.78
2024-02-18,4,50.00,0.00
