Date_1,Date_2,Date_3,Predicted_Close_1,Predicted_Close_2,Predicted_Close_3,Actual_Close_1,Actual_Close_2,Actual_Close_3
2023-09-19,2023-09-20,2023-09-21,173.53432,172.90488,172.85356,175.01,177.97,179.07
2023-09-20,2023-09-21,2023-09-22,173.49312,172.8644,172.81288,177.97,179.07,175.49
2023-09-21,2023-09-22,2023-09-25,173.78458,173.14903,173.09834,179.07,175.49,173.93
2023-09-22,2023-09-25,2023-09-26,173.80132,173.16577,173.11522,175.49,173.93,174.79
2023-09-25,2023-09-26,2023-09-27,173.73425,173.0997,173.049,173.93,174.79,176.08
2023-09-26,2023-09-27,2023-09-28,173.50787,172.87799,172.82684,174.79,176.08,171.96
2023-09-27,2023-09-28,2023-09-29,173.58919,172.95847,172.90753,176.08,171.96,170.43
2023-09-28,2023-09-29,2023-10-02,173.66525,173.03336,172.98274,171.96,170.43,170.69
2023-09-29,2023-10-02,2023-10-03,173.15395,172.5368,172.48662,170.43,170.69,171.21
2023-10-02,2023-10-03,2023-10-04,172.26442,171.67934,171.63301,170.69,171.21,173.75
2023-10-03,2023-10-04,2023-10-05,171.61847,171.0748,171.03412,171.21,173.75,172.4
2023-10-04,2023-10-05,2023-10-06,172.60948,172.0256,171.97906,173.75,172.4,173.66
2023-10-05,2023-10-06,2023-10-09,173.26326,172.64865,172.59903,172.4,173.66,174.91
2023-10-06,2023-10-09,2023-10-10,173.05283,172.44505,172.39606,173.66,174.91,177.49
2023-10-09,2023-10-10,2023-10-11,173.22853,172.61282,172.56296,174.91,177.49,178.99
2023-10-10,2023-10-11,2023-10-12,173.54874,172.92136,172.87086,177.49,178.99,178.39
2023-10-11,2023-10-12,2023-10-13,173.71928,173.08607,173.03555,178.99,178.39,179.8
2023-10-12,2023-10-13,2023-10-16,173.81084,173.17499,173.12474,178.39,179.8,180.71
2023-10-13,2023-10-16,2023-10-17,173.82549,173.1892,173.13895,179.8,180.71,178.85
2023-10-16,2023-10-17,2023-10-18,173.83919,173.20253,173.15233,180.71,178.85,178.72
2023-10-17,2023-10-18,2023-10-19,173.86287,173.22565,173.17558,178.85,178.72,177.15
2023-10-18,2023-10-19,2023-10-20,173.84846,173.21153,173.16135,178.72,177.15,175.84
2023-10-19,2023-10-20,2023-10-23,173.80016,173.16406,173.11357,177.15,175.84,175.46
2023-10-20,2023-10-23,2023-10-24,173.73488,173.1001,173.0494,175.84,175.46,172.88
2023-10-23,2023-10-24,2023-10-25,173.69229,173.05875,173.00793,175.46,172.88,173.0
2023-10-24,2023-10-25,2023-10-26,173.68329,173.05017,172.99939,172.88,173.0,173.44
2023-10-25,2023-10-26,2023-10-27,173.34818,172.72368,172.67273,173.0,173.44,171.1
2023-10-26,2023-10-27,2023-10-30,172.93106,172.3218,172.27225,173.44,171.1,166.89
2023-10-27,2023-10-30,2023-10-31,173.19579,172.5815,172.53172,171.1,166.89,168.22
2023-10-30,2023-10-31,2023-11-01,172.66907,172.07698,172.02977,166.89,168.22,170.29
2023-10-31,2023-11-01,2023-11-02,169.58517,169.13205,169.1083,168.22,170.29,170.77
2023-11-01,2023-11-02,2023-11-03,169.73557,169.29279,169.26749,170.29,170.77,173.97
2023-11-02,2023-11-03,2023-11-06,171.61731,171.09512,171.0563,170.77,173.97,177.57
2023-11-03,2023-11-06,2023-11-07,171.69632,171.16637,171.12778,173.97,177.57,176.65
2023-11-06,2023-11-07,2023-11-08,173.23456,172.622,172.57265,177.57,176.65,179.23
2023-11-07,2023-11-08,2023-11-09,173.76358,173.12921,173.07877,176.65,179.23,181.82
2023-11-08,2023-11-09,2023-11-10,173.6656,173.03293,172.98206,179.23,181.82,182.89
2023-11-09,2023-11-10,2023-11-13,173.79692,173.16121,173.11063,181.82,182.89,182.41
2023-11-10,2023-11-13,2023-11-14,173.86165,173.22456,173.17432,182.89,182.41,186.4
2023-11-13,2023-11-14,2023-11-15,173.88332,173.2457,173.19568,182.41,186.4,184.8
2023-11-14,2023-11-15,2023-11-16,173.8842,173.24657,173.19656,186.4,184.8,187.44
2023-11-15,2023-11-16,2023-11-17,173.89777,173.25989,173.20993,184.8,187.44,188.01
2023-11-16,2023-11-17,2023-11-20,173.89815,173.26024,173.21028,187.44,188.01,189.71
2023-11-17,2023-11-20,2023-11-21,173.90324,173.26526,173.21536,188.01,189.71,189.69
2023-11-20,2023-11-21,2023-11-22,173.90558,173.26758,173.21764,189.71,189.69,191.45
2023-11-21,2023-11-22,2023-11-24,173.90756,173.26949,173.21959,189.69,191.45,190.64
2023-11-22,2023-11-24,2023-11-27,173.90788,173.26979,173.21991,191.45,190.64,191.31
2023-11-24,2023-11-27,2023-11-28,173.9091,173.27095,173.2211,190.64,191.31,189.97
2023-11-27,2023-11-28,2023-11-29,173.90915,173.27098,173.22118,191.31,189.97,189.79
2023-11-28,2023-11-29,2023-11-30,173.90976,173.27162,173.22174,189.97,189.79,190.4
2023-11-29,2023-11-30,2023-12-01,173.9091,173.27097,173.22108,189.79,190.4,189.37
2023-11-30,2023-12-01,2023-12-04,173.90852,173.27045,173.22057,190.4,189.37,189.95
2023-12-01,2023-12-04,2023-12-05,173.90874,173.27066,173.2208,189.37,189.95,191.24
2023-12-04,2023-12-05,2023-12-06,173.90857,173.27051,173.22063,189.95,191.24,189.43
2023-12-05,2023-12-06,2023-12-07,173.90816,173.27008,173.22018,191.24,189.43,193.42
2023-12-06,2023-12-07,2023-12-08,173.909,173.27084,173.22096,189.43,193.42,192.32
2023-12-07,2023-12-08,2023-12-11,173.90787,173.26976,173.21985,193.42,192.32,194.27
2023-12-08,2023-12-11,2023-12-12,173.90987,173.27174,173.22188,192.32,194.27,195.71
2023-12-11,2023-12-12,2023-12-13,173.91026,173.27211,173.22227,194.27,195.71,193.18
2023-12-12,2023-12-13,2023-12-14,173.91103,173.27293,173.22307,195.71,193.18,194.71
2023-12-13,2023-12-14,2023-12-15,173.91138,173.27324,173.22336,193.18,194.71,197.96
2023-12-14,2023-12-15,2023-12-18,173.91084,173.27278,173.22285,194.71,197.96,198.11
2023-12-15,2023-12-18,2023-12-19,173.91107,173.273,173.22311,197.96,198.11,197.57
2023-12-18,2023-12-19,2023-12-20,173.9116,173.27348,173.22357,198.11,197.57,195.89
2023-12-19,2023-12-20,2023-12-21,173.91193,173.2738,173.22392,197.57,195.89,196.94
2023-12-20,2023-12-21,2023-12-22,173.91211,173.27396,173.22408,195.89,196.94,194.83
2023-12-21,2023-12-22,2023-12-26,173.91191,173.27377,173.22394,196.94,194.83,194.68
2023-12-22,2023-12-26,2023-12-27,173.91206,173.27394,173.22406,194.83,194.68,193.6
2023-12-26,2023-12-27,2023-12-28,173.91179,173.2737,173.22382,194.68,193.6,193.05
2023-12-27,2023-12-28,2023-12-29,173.91168,173.2736,173.22372,193.6,193.05,193.15
2023-12-28,2023-12-29,2024-01-02,173.91139,173.2733,173.22343,193.05,193.15,193.58
2023-12-29,2024-01-02,2024-01-03,173.9111,173.27303,173.22313,193.15,193.58,192.53
2024-01-02,2024-01-03,2024-01-04,173.91072,173.27263,173.22272,193.58,192.53,185.64
2024-01-03,2024-01-04,2024-01-05,173.911,173.27283,173.22298,192.53,185.64,184.25
2024-01-04,2024-01-05,2024-01-08,173.91072,173.27261,173.22272,185.64,184.25,181.91
2024-01-05,2024-01-08,2024-01-09,173.90315,173.26517,173.21521,184.25,181.91,181.18
2024-01-08,2024-01-09,2024-01-10,173.89346,173.25563,173.20554,181.91,181.18,185.56
2024-01-09,2024-01-10,2024-01-11,173.87321,173.23566,173.18552,181.18,185.56,185.14
2024-01-10,2024-01-11,2024-01-12,173.86806,173.2306,173.1804,185.56,185.14,186.19
2024-01-11,2024-01-12,2024-01-16,173.8915,173.25375,173.20374,185.14,186.19,185.59
2024-01-12,2024-01-16,2024-01-17,173.89517,173.25728,173.20737,186.19,185.59,185.92
2024-01-16,2024-01-17,2024-01-18,173.89911,173.26123,173.21124,185.59,185.92,183.63
2024-01-17,2024-01-18,2024-01-19,173.8998,173.26187,173.21188,185.92,183.63,182.68
2024-01-18,2024-01-19,2024-01-22,173.90112,173.26318,173.21326,183.63,182.68,188.63
2024-01-19,2024-01-22,2024-01-23,173.88802,173.25034,173.20027,182.68,188.63,191.56
2024-01-22,2024-01-23,2024-01-24,173.87897,173.24138,173.1913,188.63,191.56,193.89
2024-01-23,2024-01-24,2024-01-25,173.90265,173.26466,173.21472,191.56,193.89,195.18
2024-01-24,2024-01-25,2024-01-26,173.90689,173.26875,173.21893,193.89,195.18,194.5
2024-01-25,2024-01-26,2024-01-29,173.91005,173.27191,173.22203,195.18,194.5,194.17
